l2_tenant_id,order_id,user_id,product_id,category,quantity,amount,order_time,channel
aura_beauty,ORD-AURA-000073,aura_beauty_user_0196,AB-SK04,skincare,2,6030.72,2025-10-27 22:01:00,instagram
aura_beauty,ORD-AURA-000652,aura_beauty_user_0043,AB-SK01,skincare,2,4411.2,2025-08-26 20:09:00,instagram
aura_beauty,ORD-AURA-000178,aura_beauty_user_0102,AB-BE03,beauty,2,3928.8,2025-06-07 01:14:00,instagram
aura_beauty,ORD-AURA-000179,aura_beauty_user_0066,AB-SK02,skincare,2,6255.9,2026-01-28 04:48:00,shopee
aura_beauty,ORD-AURA-000020,aura_beauty_user_0079,GEN-FA02,fashion,2,1106.32,2026-04-21 11:56:00,website
aura_beauty,ORD-AURA-000052,aura_beauty_user_0007,AB-SK04,skincare,2,2695.48,2026-02-12 07:14:00,instagram
loom_fashion,ORD-LOOM-000805,loom_fashion_user_0172,LF-FA05,fashion,1,1742.04,2025-11-19 23:42:00,website
aura_beauty,ORD-AURA-000460,aura_beauty_user_0153,AB-BE01,beauty,3,2122.74,2026-04-28 02:21:00,instagram
aura_beauty,ORD-AURA-000035,aura_beauty_user_0015,AB-BE01,beauty,1,2123.6,2025-09-15 16:10:00,instagram
nest_home,ORD-NEST-001703,nest_home_user_0163,NH-FA02,fashion,2,1835.94,2026-03-28 01:20:00,website
nest_home,ORD-NEST-001841,nest_home_user_0072,NH-FA02,fashion,2,8088.76,2025-08-01 13:24:00,website
aura_beauty,ORD-AURA-000146,aura_beauty_user_0150,AB-SK01,skincare,2,3048.08,2026-01-19 21:16:00,shopee
aura_beauty,ORD-AURA-000039,aura_beauty_user_0118,AB-BE02,beauty,2,6165.2,2026-04-25 02:00:00,instagram
aura_beauty,ORD-AURA-000385,aura_beauty_user_0092,AB-SK01,skincare,3,9607.65,2025-11-22 21:44:00,website
loom_fashion,ORD-LOOM-001098,loom_fashion_user_0025,LF-FA01,fashion,3,2741.85,2026-03-12 12:25:00,shopee
aura_beauty,ORD-AURA-000409,aura_beauty_user_0128,AB-BE01,beauty,1,2467.67,2025-12-26 00:10:00,shopee
nest_home,ORD-NEST-001444,nest_home_user_0197,NH-HO02,home,2,10079.06,2026-02-07 16:42:00,instagram
aura_beauty,ORD-AURA-000519,aura_beauty_user_0134,AB-SK01,skincare,2,2102.88,2025-04-13 08:53:00,website
aura_beauty,ORD-AURA-000588,aura_beauty_user_0142,AB-BE02,beauty,2,3572.36,2025-07-03 09:31:00,website
loom_fashion,ORD-LOOM-000786,loom_fashion_user_0028,LF-BE01,beauty,3,3394.74,2026-02-23 22:50:00,shopee
aura_beauty,ORD-AURA-000487,aura_beauty_user_0142,AB-SK03,skincare,2,4302.08,2025-04-01 15:37:00,shopee
loom_fashion,ORD-LOOM-000796,loom_fashion_user_0111,LF-FA05,fashion,2,2321.22,2025-05-25 00:15:00,shopee
nest_home,ORD-NEST-001459,nest_home_user_0025,NH-HO01,home,1,399.19,2025-11-06 03:33:00,website
loom_fashion,ORD-LOOM-000817,loom_fashion_user_0025,LF-FA04,fashion,2,7201.48,2025-09-29 21:02:00,shopee
nest_home,ORD-NEST-001696,nest_home_user_0072,NH-HO01,home,2,3172.6,2025-04-16 07:09:00,instagram
loom_fashion,ORD-LOOM-000823,loom_fashion_user_0196,LF-FA01,fashion,1,4364.13,2025-03-08 12:42:00,website
nest_home,ORD-NEST-001940,nest_home_user_0028,NH-HO04,home,1,1375.1,2025-01-22 12:51:00,instagram
aura_beauty,ORD-AURA-000354,aura_beauty_user_0022,AB-BE02,beauty,3,8968.17,2025-10-02 19:40:00,website
aura_beauty,ORD-AURA-000309,aura_beauty_user_0015,AB-SK02,skincare,2,5767.64,2025-03-15 14:58:00,instagram
loom_fashion,ORD-LOOM-000958,loom_fashion_user_0031,GEN-SK01,skincare,1,1170.19,2026-01-12 16:59:00,shopee
loom_fashion,ORD-LOOM-001162,loom_fashion_user_0072,LF-FA01,fashion,2,3205.54,2025-04-23 02:42:00,shopee
loom_fashion,ORD-LOOM-000851,loom_fashion_user_0046,LF-FA02,fashion,3,12929.46,2026-04-12 15:31:00,website
nest_home,ORD-NEST-001495,nest_home_user_0106,NH-HO01,home,1,1624.37,2025-10-29 00:14:00,instagram
loom_fashion,ORD-LOOM-001030,loom_fashion_user_0053,LF-BE01,beauty,3,3426.63,2025-11-19 03:55:00,shopee
nest_home,ORD-NEST-001487,nest_home_user_0053,NH-HO03,home,1,2165.71,2026-01-27 01:08:00,instagram
loom_fashion,ORD-LOOM-000740,loom_fashion_user_0138,LF-FA04,fashion,2,8475.74,2025-01-22 07:33:00,shopee
loom_fashion,ORD-LOOM-000955,loom_fashion_user_0072,LF-FA01,fashion,1,1373.65,2025-03-11 00:16:00,website
aura_beauty,ORD-AURA-000395,aura_beauty_user_0145,AB-SK02,skincare,3,9781.11,2025-03-15 02:33:00,website
loom_fashion,ORD-LOOM-001178,loom_fashion_user_0097,LF-FA02,fashion,2,4644.26,2025-06-06 14:18:00,shopee
aura_beauty,ORD-AURA-000402,aura_beauty_user_0140,GEN-FA01,fashion,2,5785.84,2025-10-19 13:23:00,instagram
loom_fashion,ORD-LOOM-001095,loom_fashion_user_0061,LF-FA02,fashion,2,8523.0,2026-02-25 10:33:00,website
nest_home,ORD-NEST-001808,nest_home_user_0017,NH-HO01,home,2,7333.82,2025-09-12 18:27:00,website
loom_fashion,ORD-LOOM-001127,loom_fashion_user_0085,LF-FA03,fashion,1,3032.45,2025-06-20 06:43:00,shopee
nest_home,ORD-NEST-001707,nest_home_user_0137,NH-HO04,home,3,5692.53,2025-11-27 09:16:00,website
loom_fashion,ORD-LOOM-001168,loom_fashion_user_0114,LF-FA04,fashion,1,3444.35,2025-05-02 23:38:00,shopee
loom_fashion,ORD-LOOM-000736,loom_fashion_user_0070,LF-FA02,fashion,1,1660.71,2025-07-29 00:59:00,shopee
nest_home,ORD-NEST-001931,nest_home_user_0102,NH-FA02,fashion,2,6555.46,2025-09-26 13:41:00,instagram
aura_beauty,ORD-AURA-000623,aura_beauty_user_0127,AB-BE02,beauty,3,9535.74,2025-01-30 05:40:00,shopee
nest_home,ORD-NEST-001537,nest_home_user_0105,NH-HO01,home,1,4300.33,2025-07-01 14:58:00,instagram
nest_home,ORD-NEST-001987,nest_home_user_0171,GEN-SK01,skincare,1,526.32,2025-02-14 18:11:00,website
loom_fashion,ORD-LOOM-001254,loom_fashion_user_0123,LF-BE01,beauty,2,7188.94,2026-04-23 23:08:00,shopee
loom_fashion,ORD-LOOM-001139,loom_fashion_user_0133,LF-FA03,fashion,3,8818.98,2025-08-21 01:23:00,website
aura_beauty,ORD-AURA-000693,aura_beauty_user_0136,AB-SK04,skincare,2,5415.62,2025-01-30 19:17:00,website
nest_home,ORD-NEST-001768,nest_home_user_0200,NH-HO01,home,1,4272.15,2025-07-01 16:38:00,website
aura_beauty,ORD-AURA-000115,aura_beauty_user_0083,AB-SK04,skincare,3,1803.15,2025-02-15 10:16:00,website
loom_fashion,ORD-LOOM-001016,loom_fashion_user_0076,GEN-HO02,home,1,4378.53,2025-10-27 07:12:00,shopee
nest_home,ORD-NEST-001875,nest_home_user_0194,NH-FA01,fashion,1,3904.89,2025-03-17 14:06:00,website
loom_fashion,ORD-LOOM-000733,loom_fashion_user_0069,LF-FA02,fashion,1,1254.33,2025-01-14 19:39:00,website
loom_fashion,ORD-LOOM-000762,loom_fashion_user_0077,LF-FA02,fashion,3,5694.54,2026-02-09 02:19:00,shopee
aura_beauty,ORD-AURA-000622,aura_beauty_user_0103,AB-SK03,skincare,1,2192.71,2026-01-06 12:59:00,instagram
aura_beauty,ORD-AURA-000659,aura_beauty_user_0135,AB-SK02,skincare,3,3867.87,2025-11-17 04:08:00,website
nest_home,ORD-NEST-001369,nest_home_user_0163,GEN-SK01,skincare,2,8718.9,2025-11-16 17:06:00,shopee
aura_beauty,ORD-AURA-000125,aura_beauty_user_0082,AB-BE03,beauty,1,2089.17,2025-04-30 13:02:00,instagram
nest_home,ORD-NEST-001391,nest_home_user_0182,NH-FA01,fashion,2,3688.46,2025-04-13 02:22:00,instagram
nest_home,ORD-NEST-001782,nest_home_user_0186,NH-FA02,fashion,2,1396.36,2025-02-23 08:53:00,instagram
nest_home,ORD-NEST-001527,nest_home_user_0063,NH-HO04,home,2,3641.1,2026-03-05 18:18:00,shopee
aura_beauty,ORD-AURA-000379,aura_beauty_user_0044,AB-BE01,beauty,3,4423.86,2025-05-24 19:34:00,shopee
loom_fashion,ORD-LOOM-001344,loom_fashion_user_0036,LF-FA04,fashion,2,9841.1,2025-05-12 14:41:00,website
aura_beauty,ORD-AURA-000348,aura_beauty_user_0189,AB-SK02,skincare,2,2745.48,2025-07-23 10:18:00,instagram
aura_beauty,ORD-AURA-000486,aura_beauty_user_0032,AB-BE02,beauty,2,5578.34,2025-09-16 12:40:00,instagram
nest_home,ORD-NEST-001733,nest_home_user_0100,NH-FA02,fashion,1,2519.14,2025-05-31 00:39:00,website
nest_home,ORD-NEST-001694,nest_home_user_0134,GEN-SK02,skincare,3,3666.57,2026-03-13 16:20:00,shopee
loom_fashion,ORD-LOOM-001039,loom_fashion_user_0072,LF-FA05,fashion,2,7570.9,2025-06-10 11:00:00,website
aura_beauty,ORD-AURA-000368,aura_beauty_user_0096,AB-SK02,skincare,2,1653.54,2025-06-06 03:11:00,instagram
loom_fashion,ORD-LOOM-000879,loom_fashion_user_0086,LF-FA01,fashion,1,4429.99,2025-04-29 16:41:00,shopee
loom_fashion,ORD-LOOM-001255,loom_fashion_user_0191,LF-FA05,fashion,3,3674.79,2025-01-08 19:12:00,website
loom_fashion,ORD-LOOM-001290,loom_fashion_user_0129,LF-FA05,fashion,1,3230.16,2025-01-05 16:29:00,shopee
loom_fashion,ORD-LOOM-001150,loom_fashion_user_0019,LF-FA02,fashion,2,3159.26,2025-01-23 14:01:00,shopee
nest_home,ORD-NEST-001872,nest_home_user_0181,NH-HO03,home,3,15527.22,2025-08-17 15:21:00,website
aura_beauty,ORD-AURA-000176,aura_beauty_user_0125,AB-SK01,skincare,3,2177.64,2025-08-15 21:27:00,instagram
aura_beauty,ORD-AURA-000131,aura_beauty_user_0026,GEN-HO01,home,2,6439.52,2026-01-25 20:45:00,shopee
nest_home,ORD-NEST-001617,nest_home_user_0186,NH-FA01,fashion,1,3767.99,2025-08-24 02:56:00,website
loom_fashion,ORD-LOOM-001117,loom_fashion_user_0072,LF-BE02,beauty,1,2095.75,2025-01-28 20:50:00,website
loom_fashion,ORD-LOOM-001159,loom_fashion_user_0132,LF-FA01,fashion,3,4230.66,2025-03-27 01:26:00,website
loom_fashion,ORD-LOOM-000799,loom_fashion_user_0112,LF-FA01,fashion,3,2272.17,2026-01-05 15:42:00,website
nest_home,ORD-NEST-001608,nest_home_user_0181,NH-HO01,home,1,2350.51,2025-11-10 22:09:00,instagram
loom_fashion,ORD-LOOM-000973,loom_fashion_user_0095,LF-FA05,fashion,2,8239.96,2025-04-12 02:26:00,website
nest_home,ORD-NEST-001670,nest_home_user_0154,NH-FA02,fashion,3,7669.11,2026-01-20 06:26:00,shopee
nest_home,ORD-NEST-001700,nest_home_user_0167,NH-HO02,home,1,1751.32,2026-01-14 05:44:00,website
aura_beauty,ORD-AURA-000531,aura_beauty_user_0180,AB-SK02,skincare,3,8781.63,2025-09-23 16:44:00,instagram
aura_beauty,ORD-AURA-000289,aura_beauty_user_0158,AB-SK03,skincare,3,2476.59,2026-04-15 09:23:00,website
nest_home,ORD-NEST-001791,nest_home_user_0064,NH-FA02,fashion,2,4585.42,2025-12-16 11:22:00,shopee
nest_home,ORD-NEST-001894,nest_home_user_0051,NH-HO01,home,2,2751.2,2025-01-04 02:11:00,shopee
loom_fashion,ORD-LOOM-001348,loom_fashion_user_0019,LF-FA01,fashion,2,4604.56,2025-10-19 12:54:00,website
loom_fashion,ORD-LOOM-001302,loom_fashion_user_0026,LF-FA01,fashion,2,3484.28,2026-04-11 20:25:00,website
loom_fashion,ORD-LOOM-000923,loom_fashion_user_0095,LF-FA03,fashion,2,2999.78,2025-02-05 15:43:00,website
aura_beauty,ORD-AURA-000029,aura_beauty_user_0050,GEN-HO01,home,1,1618.69,2025-06-23 03:15:00,website
nest_home,ORD-NEST-001370,nest_home_user_0199,NH-HO01,home,3,5789.97,2025-08-04 06:14:00,shopee
loom_fashion,ORD-LOOM-001181,loom_fashion_user_0196,LF-FA01,fashion,1,2340.9,2025-10-17 05:12:00,shopee
loom_fashion,ORD-LOOM-000706,loom_fashion_user_0112,LF-FA05,fashion,2,2053.34,2025-01-29 10:22:00,shopee
nest_home,ORD-NEST-001822,nest_home_user_0175,NH-HO04,home,1,3225.47,2025-06-26 03:55:00,website
loom_fashion,ORD-LOOM-000967,loom_fashion_user_0189,GEN-SK02,skincare,1,1865.62,2025-02-11 15:30:00,shopee
nest_home,ORD-NEST-001852,nest_home_user_0074,NH-FA01,fashion,2,1530.82,2025-05-06 19:33:00,instagram
nest_home,ORD-NEST-001752,nest_home_user_0004,NH-HO04,home,3,12643.92,2025-03-28 05:06:00,shopee
loom_fashion,ORD-LOOM-000731,loom_fashion_user_0038,LF-FA05,fashion,3,14278.5,2025-03-02 05:20:00,website
loom_fashion,ORD-LOOM-000723,loom_fashion_user_0118,GEN-SK02,skincare,3,8911.2,2025-04-06 06:32:00,website
loom_fashion,ORD-LOOM-001223,loom_fashion_user_0167,LF-FA02,fashion,1,1625.81,2026-01-19 06:47:00,website
loom_fashion,ORD-LOOM-001165,loom_fashion_user_0150,LF-FA03,fashion,3,8275.02,2025-06-21 00:38:00,shopee
aura_beauty,ORD-AURA-000539,aura_beauty_user_0184,AB-BE02,beauty,2,4113.56,2025-11-14 19:30:00,instagram
nest_home,ORD-NEST-001515,nest_home_user_0113,NH-HO01,home,2,10272.58,2025-10-10 10:04:00,website
aura_beauty,ORD-AURA-000471,aura_beauty_user_0129,AB-BE02,beauty,2,1437.14,2026-04-08 22:02:00,instagram
loom_fashion,ORD-LOOM-001032,loom_fashion_user_0197,LF-FA03,fashion,1,1217.6,2025-04-14 14:26:00,website
nest_home,ORD-NEST-001629,nest_home_user_0154,NH-HO04,home,2,9607.72,2025-05-10 23:23:00,shopee
aura_beauty,ORD-AURA-000472,aura_beauty_user_0055,GEN-FA01,fashion,1,3138.88,2025-08-18 05:10:00,website
aura_beauty,ORD-AURA-000551,aura_beauty_user_0123,AB-BE03,beauty,3,4186.62,2025-03-01 11:35:00,instagram
loom_fashion,ORD-LOOM-000755,loom_fashion_user_0098,GEN-HO02,home,1,1089.51,2025-06-03 10:23:00,website
aura_beauty,ORD-AURA-000270,aura_beauty_user_0137,GEN-HO02,home,3,4640.85,2025-03-30 14:58:00,shopee
aura_beauty,ORD-AURA-000675,aura_beauty_user_0175,AB-SK01,skincare,3,7053.51,2025-04-17 15:24:00,shopee
loom_fashion,ORD-LOOM-001280,loom_fashion_user_0004,LF-FA04,fashion,2,4248.14,2025-02-27 03:42:00,website
loom_fashion,ORD-LOOM-001334,loom_fashion_user_0081,GEN-HO01,home,3,14766.18,2025-09-05 01:03:00,website
loom_fashion,ORD-LOOM-001195,loom_fashion_user_0055,LF-FA03,fashion,1,3544.23,2026-02-09 01:06:00,website
aura_beauty,ORD-AURA-000104,aura_beauty_user_0068,AB-BE03,beauty,1,3134.25,2025-04-17 20:13:00,instagram
loom_fashion,ORD-LOOM-000916,loom_fashion_user_0187,LF-FA03,fashion,3,6546.66,2025-03-24 16:49:00,website
loom_fashion,ORD-LOOM-001122,loom_fashion_user_0141,LF-FA04,fashion,2,6282.36,2026-04-24 11:16:00,website
loom_fashion,ORD-LOOM-000908,loom_fashion_user_0040,LF-BE02,beauty,2,9281.38,2025-03-25 03:13:00,website
loom_fashion,ORD-LOOM-000777,loom_fashion_user_0027,LF-FA03,fashion,1,755.45,2025-11-15 17:32:00,website
nest_home,ORD-NEST-001800,nest_home_user_0171,NH-HO02,home,2,9523.62,2025-05-06 17:09:00,shopee
nest_home,ORD-NEST-001838,nest_home_user_0085,GEN-SK01,skincare,2,848.06,2025-05-04 21:52:00,website
loom_fashion,ORD-LOOM-000704,loom_fashion_user_0020,LF-FA03,fashion,1,3137.39,2025-10-19 06:46:00,shopee
nest_home,ORD-NEST-001737,nest_home_user_0054,NH-FA02,fashion,1,2128.32,2025-06-11 07:42:00,website
aura_beauty,ORD-AURA-000512,aura_beauty_user_0126,AB-BE03,beauty,2,3410.04,2025-12-18 04:21:00,shopee
nest_home,ORD-NEST-001415,nest_home_user_0004,NH-HO02,home,3,2433.03,2025-09-11 01:13:00,instagram
nest_home,ORD-NEST-001902,nest_home_user_0191,NH-FA02,fashion,2,3969.22,2025-09-08 10:34:00,website
nest_home,ORD-NEST-001934,nest_home_user_0083,NH-HO02,home,1,5439.3,2025-03-12 16:20:00,shopee
nest_home,ORD-NEST-001584,nest_home_user_0109,NH-HO01,home,1,1441.3,2026-03-22 03:02:00,shopee
aura_beauty,ORD-AURA-000580,aura_beauty_user_0192,AB-BE02,beauty,3,6065.01,2025-02-13 09:13:00,instagram
loom_fashion,ORD-LOOM-001343,loom_fashion_user_0023,LF-FA03,fashion,1,982.41,2025-10-23 11:22:00,website
aura_beauty,ORD-AURA-000055,aura_beauty_user_0131,AB-SK04,skincare,2,5050.16,2025-06-10 13:38:00,website
nest_home,ORD-NEST-001480,nest_home_user_0136,NH-HO01,home,2,2755.18,2026-01-09 23:41:00,shopee
loom_fashion,ORD-LOOM-001138,loom_fashion_user_0099,LF-FA05,fashion,2,1610.28,2025-04-12 02:58:00,shopee
loom_fashion,ORD-LOOM-000870,loom_fashion_user_0014,LF-FA03,fashion,3,14067.96,2025-09-21 21:23:00,website
loom_fashion,ORD-LOOM-000911,loom_fashion_user_0178,LF-FA03,fashion,1,3883.73,2025-03-02 07:08:00,website
aura_beauty,ORD-AURA-000494,aura_beauty_user_0168,AB-SK03,skincare,2,4560.98,2026-03-18 08:16:00,instagram
nest_home,ORD-NEST-001729,nest_home_user_0020,NH-FA02,fashion,2,6869.2,2025-11-21 02:47:00,instagram
nest_home,ORD-NEST-001788,nest_home_user_0113,NH-FA02,fashion,2,8384.56,2025-01-21 11:41:00,shopee
aura_beauty,ORD-AURA-000041,aura_beauty_user_0078,AB-BE02,beauty,2,1875.38,2026-03-03 17:45:00,instagram
aura_beauty,ORD-AURA-000495,aura_beauty_user_0015,GEN-HO02,home,1,915.95,2026-01-27 07:57:00,instagram
loom_fashion,ORD-LOOM-000844,loom_fashion_user_0149,LF-BE01,beauty,3,6830.97,2025-03-26 14:15:00,website
aura_beauty,ORD-AURA-000445,aura_beauty_user_0145,AB-SK03,skincare,3,1732.32,2025-12-25 11:36:00,website
loom_fashion,ORD-LOOM-000873,loom_fashion_user_0069,LF-BE01,beauty,3,11862.6,2025-06-14 11:57:00,shopee
nest_home,ORD-NEST-001834,nest_home_user_0099,NH-HO03,home,3,1956.78,2025-01-15 01:19:00,website
loom_fashion,ORD-LOOM-000890,loom_fashion_user_0165,LF-FA02,fashion,2,4446.44,2025-06-17 01:38:00,website
loom_fashion,ORD-LOOM-000765,loom_fashion_user_0086,LF-FA04,fashion,1,3380.69,2026-04-02 17:57:00,shopee
nest_home,ORD-NEST-001810,nest_home_user_0187,NH-HO03,home,1,5440.95,2025-05-22 18:16:00,website
loom_fashion,ORD-LOOM-001070,loom_fashion_user_0119,LF-FA05,fashion,2,9525.48,2025-05-18 01:20:00,shopee
nest_home,ORD-NEST-001392,nest_home_user_0050,NH-HO04,home,3,14014.17,2025-08-12 16:25:00,shopee
loom_fashion,ORD-LOOM-000734,loom_fashion_user_0123,LF-FA02,fashion,3,2405.7,2025-02-10 22:49:00,website
aura_beauty,ORD-AURA-000341,aura_beauty_user_0105,AB-SK01,skincare,1,1697.55,2025-10-13 17:32:00,website
nest_home,ORD-NEST-001649,nest_home_user_0117,NH-HO03,home,1,3118.17,2025-11-11 23:55:00,shopee
loom_fashion,ORD-LOOM-001054,loom_fashion_user_0096,LF-FA03,fashion,3,5797.02,2025-09-25 04:07:00,shopee
loom_fashion,ORD-LOOM-000838,loom_fashion_user_0189,GEN-SK01,skincare,3,9526.17,2026-04-19 02:02:00,website
nest_home,ORD-NEST-001745,nest_home_user_0100,NH-HO03,home,1,5678.45,2025-02-13 20:41:00,shopee
aura_beauty,ORD-AURA-000214,aura_beauty_user_0108,AB-BE01,beauty,2,2319.76,2025-03-04 01:15:00,instagram
aura_beauty,ORD-AURA-000524,aura_beauty_user_0195,AB-BE02,beauty,3,4105.92,2026-01-14 03:06:00,website
nest_home,ORD-NEST-001575,nest_home_user_0073,NH-HO01,home,1,5505.13,2025-10-15 08:30:00,instagram
nest_home,ORD-NEST-001664,nest_home_user_0119,GEN-SK01,skincare,2,4395.38,2025-06-27 14:09:00,instagram
aura_beauty,ORD-AURA-000611,aura_beauty_user_0012,GEN-FA01,fashion,3,6913.53,2025-09-25 13:23:00,instagram
nest_home,ORD-NEST-001507,nest_home_user_0008,NH-FA02,fashion,2,9355.8,2025-10-30 06:48:00,shopee
nest_home,ORD-NEST-001673,nest_home_user_0119,GEN-SK01,skincare,2,3844.16,2025-09-30 10:48:00,instagram
nest_home,ORD-NEST-001939,nest_home_user_0074,NH-HO02,home,2,10281.92,2025-07-21 03:41:00,shopee
nest_home,ORD-NEST-001435,nest_home_user_0006,NH-FA02,fashion,1,1824.54,2025-09-23 23:40:00,website
loom_fashion,ORD-LOOM-001106,loom_fashion_user_0154,LF-BE02,beauty,1,3555.12,2025-12-22 22:29:00,shopee
aura_beauty,ORD-AURA-000064,aura_beauty_user_0162,AB-SK04,skincare,3,8586.36,2025-02-07 14:26:00,instagram
loom_fashion,ORD-LOOM-000750,loom_fashion_user_0127,LF-FA04,fashion,2,6043.24,2025-01-03 19:56:00,website
loom_fashion,ORD-LOOM-001209,loom_fashion_user_0165,LF-FA03,fashion,1,4687.34,2026-01-28 19:04:00,shopee
aura_beauty,ORD-AURA-000577,aura_beauty_user_0122,AB-BE02,beauty,2,3119.42,2026-02-25 21:01:00,website
nest_home,ORD-NEST-001949,nest_home_user_0163,NH-HO03,home,2,10621.98,2026-03-31 06:07:00,instagram
nest_home,ORD-NEST-001532,nest_home_user_0162,NH-HO01,home,2,5244.84,2025-03-17 18:31:00,website
aura_beauty,ORD-AURA-000641,aura_beauty_user_0081,AB-SK02,skincare,2,6429.34,2025-12-24 16:29:00,instagram
aura_beauty,ORD-AURA-000477,aura_beauty_user_0106,GEN-FA01,fashion,2,5822.9,2026-03-27 11:56:00,shopee
aura_beauty,ORD-AURA-000369,aura_beauty_user_0048,AB-SK04,skincare,2,4315.32,2025-10-22 12:27:00,shopee
aura_beauty,ORD-AURA-000655,aura_beauty_user_0043,AB-SK04,skincare,2,5157.8,2025-09-24 14:26:00,website
nest_home,ORD-NEST-001413,nest_home_user_0198,NH-HO02,home,3,8768.79,2025-09-08 08:20:00,instagram
loom_fashion,ORD-LOOM-001072,loom_fashion_user_0115,LF-FA05,fashion,3,12175.71,2025-06-05 18:26:00,website
aura_beauty,ORD-AURA-000264,aura_beauty_user_0177,AB-SK04,skincare,3,4063.95,2026-04-06 23:55:00,instagram
nest_home,ORD-NEST-001862,nest_home_user_0103,NH-FA02,fashion,2,5693.66,2025-06-22 10:42:00,website
aura_beauty,ORD-AURA-000250,aura_beauty_user_0089,AB-SK02,skincare,2,5789.58,2025-06-13 23:55:00,shopee
loom_fashion,ORD-LOOM-000728,loom_fashion_user_0115,LF-FA02,fashion,2,9707.2,2026-04-11 19:21:00,website
aura_beauty,ORD-AURA-000374,aura_beauty_user_0191,AB-SK03,skincare,1,1994.09,2025-03-28 14:36:00,shopee
loom_fashion,ORD-LOOM-000721,loom_fashion_user_0169,LF-FA01,fashion,1,2357.29,2025-05-19 21:54:00,shopee
nest_home,ORD-NEST-001466,nest_home_user_0186,NH-HO04,home,1,5194.72,2025-07-01 04:29:00,shopee
nest_home,ORD-NEST-001421,nest_home_user_0091,NH-HO04,home,2,3603.04,2026-04-20 17:05:00,shopee
aura_beauty,ORD-AURA-000648,aura_beauty_user_0066,AB-SK01,skincare,2,1548.5,2025-03-25 01:13:00,shopee
aura_beauty,ORD-AURA-000600,aura_beauty_user_0072,AB-SK02,skincare,2,1919.1,2025-02-09 16:41:00,website
nest_home,ORD-NEST-001775,nest_home_user_0036,NH-HO02,home,1,4805.09,2025-02-06 07:17:00,shopee
nest_home,ORD-NEST-001676,nest_home_user_0121,NH-HO01,home,2,7238.84,2025-03-27 18:40:00,instagram
loom_fashion,ORD-LOOM-000975,loom_fashion_user_0103,GEN-SK02,skincare,1,1813.05,2026-03-13 05:03:00,shopee
nest_home,ORD-NEST-001368,nest_home_user_0005,GEN-SK01,skincare,1,4655.17,2025-02-23 02:41:00,instagram
aura_beauty,ORD-AURA-000135,aura_beauty_user_0074,AB-BE02,beauty,2,4706.96,2026-04-06 14:57:00,instagram
aura_beauty,ORD-AURA-000465,aura_beauty_user_0021,AB-BE01,beauty,1,570.57,2025-03-29 20:18:00,shopee
loom_fashion,ORD-LOOM-000965,loom_fashion_user_0066,LF-FA02,fashion,2,4713.08,2026-04-11 12:59:00,shopee
